id,type,city,neighbourhood,street,rooms,price,entry_date,updated,agency,shared,furnished,elevator,aircon,parking,balcony,bars,safety_room,storage_room,renovated,boiler,pets,description,size,floor,max_floor,payments,arnona
"/rent/viewad,690363.aspx",דו משפחתי,מבשרת ציון,מעוז ציון א,גפן,5,8500,מיידי,2023-01-26,private,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"כניסה מידית,משופצת ברמה גבוהה,נוף מהמם ומקסים,מרפסת גג ענקית,דוד שמש עים קולטים,מזגנים בכל החדרים קור וחום,3 מרפסות קדמית ואחורנית,2 חניות,מיטבח עים 2 כיורים,כיווני אוויר מעולה,2 שירותים בשני הקומות,אפשרות לטווח ארוך,
",130,2,3,12,1145
"/rent/viewad,690519.aspx",דירה,רמלה,גיורא,הצנחנים 19,3,3400,מיידי,2023-01-26,private,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE," פירוט הריהוט: ארון בחדרים מקרר מכונת כביסה סלון ועוד 
",74,3,4,12,540
"/rent/viewad,690690.aspx",דירת גן,קרית אונו,קרית אונו הותיקה,ירושלים,3,5590,מיידי,2023-01-26,private,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"מיוחדת לאחר שיפוץ יסודי כולל מקלחת חדשה וריצוף בכל הבית דלתות וחלונות עם רשת ותריסים חדשים, מטבח גדול + סלון + 2 חדרי שינה +מרפסת + מחסן פתוח + חצר מגודרת לפרטיות מלאה. קרוב לקניון קריית אונו מתאים לזוג , זוג+1, נגישות גם לנכים. עדיפות לשוכרים איכותיים לטווח ארוך. עדיפות ללא בעלי חיים. מתאים גם לסטודנטים קרוב לקריה האקדמאית אונו ולאוניברסיטת בר אילן. פירוט הריהוט: כרגע אין ריהוט, אולם אפשרי להוסיף לפי צורך 
",60,0,0,12,330
"/rent/viewad,690733.aspx",דירה,באר שבע,שכונה ט,דדרות ירושלים,5.5,4800,מיידי,2023-01-26,private,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"דירה משופצת 5.5 חדרים
חדר ארונות
סוויטת הורים
2 שרותים
2 מקלחות דירה יפיפיה
",178,7,19,12,0
"/rent/viewad,690944.aspx",דופלקס,תל אביב יפו,נווה שאנן,עקיבא איגר 12,4,10500,מיידי,2023-01-26,private,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"לא לשותפים. להשכרה ללא תיווך בנווה שאנן חניה תת קרקעית, דירת פנטהאוז דופלקס 2 קומות .4 חדרים,כניסות ניפרדות לכל דירה קומה 5 ו 6 . מטבח ניפרד בכל קומה,עורפית שקטה מדהימה ובעלת אופי 12 מטר חלונות מסך.
בקומה 6 ריהוט חלקי, מיטה 2 מטר על 2.20! מקרר, מכונת כביסה טלויזיה גדולה על מזנון מפואר ושידה. 5 מטר מרפסת בקומה 5, 50 מטר מרפסת בקומה 6 שמאובזרת בסלון גן ושימשיה מיטות שיזוף וצמחיה, בקיצור גן עדן. דרושים שוכרים רציניים בלבד, עם ביטחונות.

",160,6,6,12,800
"/rent/viewad,691255.aspx",דירה,ירושלים,פסגת זאב,משה גבירצמן,3,4000,גמיש,2023-01-26,private,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"דירה חמודה ושקטה, 2 חדרי שינה קטנים וסלון + מטבח קטן. 2 חדרי שירותים ומקלחות. מרפסת עם נוף. קרובה מאוד למרכזי קניות, בתי כנסת, תחב""צ. 10 דק' הליכה מתחנת רכבת קלה. מתאימה ליחיד, זוג או זוג
+1
פירוט הריהוט: מקרר, מזגנים
",60,2,2,12,500
"/rent/viewad,691370.aspx",יחידת דיור,הוד השרון,מתחם הדסים,ירמוך 9,2,4400,מיידי,2023-01-26,private,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"יחידת דיור חדשה יפיפיה באזור פארק 4 עונות מתאימה לזוג או יחיד. מזגן בכל חדר ,מטבח חדש , יחידה מרוהטת , כולל מקרר , חדר שינה, ספה , מזנון , ארון בגדים , שולחן פינת אוכל,שכר הדירה כולל כבלים יס, אינטרנט פירוט הריהוט: יחידת דיור חדשה יפיפיה באזור פארק 4 עונות מתאימה לזוג או יחיד. מזגן בכל חדר ,מטבח חדש , יחידה מרוהטת , כולל מקרר , חדר שינה, ספה , מזנון , ארון בגדים , שולחן פינת אוכל,שכר הדירה כולל כבלים יס, אינטרנט
",60,0,3,12,200
"/rent/viewad,691404.aspx",דירה,הרצליה,גליל ים,עובדיה יוסף,4,9499,15/12/2022,2023-01-26,private,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"בפרוייקט סלע בינוי החדש,
מרחק הליכה מקניון שבעת הכוכבים.
סביבה ירוקה ונושמת,מרכזי קניות, גנים ובתי ספר במרחק הליכה.
מטבח חדש ומשודרג (לא קבלן), אינדוקציה.
2 מרפסות הפונות לים (צפון מערב)
יחידת הורים הכוללת מקלחת + מרפסת צמודה.
מיזוג מיני מרכזי תדיראן בכל הדירה.
דוד שמש עם מפסק חכם(סוויטצר)
חנייה (לא במכפיל)+מחסן צמוד
ניתן לראות את הדירה בשישי הקרוב
ענת
",116,4,9,11,640
"/rent/viewad,691443.aspx",דירה,תל אביב יפו,הצפון הישן,ליסין,4,15000,מיידי,2023-01-26,private,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"2 דקות מכיכר המדינה שופץ בימים אלו. רחוב שקט ,דירה גבוהה שפונה לגן הגת מדרום +מרפסת שמש., בניין סולידי של 8 דיירים.
חניה מקורה .חדרים גדולים ,דירה מוארת ומאווררת 3 כיווני אוויר צפון מערב ודרום . בנוסף 40 מטר גג פרטי לא מושקע .דוד שמש+חשמלי
שטחי אחסנה רבים. מטבח גדול וחדש 6.5 מטר שיש .
ריהוט חלקי קיים .
הדירה פנויה לכניסה מיידית .
2 מקלחת 3 שירותים ,הצמוד לחדר הורים -בהכנה פירוט הריהוט: רואים בתמונות - מה שלא תרצו אפשר לפנות
",144,4,4,12,1800
"/rent/viewad,691580.aspx",דירה,ת א,פלורנטין,הרצל,1,4650,גמיש,2023-01-26,private,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"הדירה עברה שיפוץ אדריכלי מלא ע""י משרד אדוט אדריכלים.
הוחלפו מערכות החשמל ,תאורה,מים חלונות,איסטלציה וביוב.
חשוב: המחיר כולל ארנונה,מים,חשמל ומיסי ועד.
השתתפות במחיר קניית מיטה,כסאות בר ועוד.
המחיר קבוע ואינו משתנה ל 3 שנים באמצעות אופציה בחוזה. פירוט הריהוט: ארון בגדים(קיר)
ארון מטבח,ארון אמבטיה,בר ישיבה
",20,5,6,12,120
