"","word"
"1","אבל"
"2","או"
"3","אולי"
"4","אותה"
"5","אותו"
"6","אותי"
"7","אותך"
"8","אותם"
"9","אותן"
"10","אותנו"
"11","אז"
"12","אחר"
"13","אחרות"
"14","אחרי"
"15","אחריכן"
"16","אחרים"
"17","אחרת"
"18","אי"
"19","איזה"
"20","איך"
"21","אין"
"22","איפה"
"23","איתה"
"24","איתו"
"25","איתי"
"26","איתך"
"27","איתכם"
"28","איתכן"
"29","איתם"
"30","איתן"
"31","איתנו"
"32","אך"
"33","אל"
"34","אלה"
"35","אלו"
"36","אם"
"37","אנחנו"
"38","אני"
"39","אס"
"40","אף"
"41","אצל"
"42","אשר"
"43","את"
"44","אתה"
"45","אתכם"
"46","אתכן"
"47","אתם"
"48","אתן"
"49","באיזומידה"
"50","באמצע"
"51","באמצעות"
"52","בגלל"
"53","בין"
"54","בלי"
"55","במידה"
"56","במקוםשבו"
"57","ברם"
"58","בשביל"
"59","בשעהש"
"60","בתוך"
"61","גם"
"62","דרך"
"63","הוא"
"64","היא"
"65","היה"
"66","היכן"
"67","היתה"
"68","היתי"
"69","הם"
"70","הן"
"71","הנה"
"72","הסיבהשבגללה"
"73","הרי"
"74","ואילו"
"75","ואת"
"76","זאת"
"77","זה"
"78","זות"
"79","יהיה"
"80","יוכל"
"81","יוכלו"
"82","יותרמדי"
"83","יכול"
"84","יכולה"
"85","יכולות"
"86","יכולים"
"87","יכל"
"88","יכלה"
"89","יכלו"
"90","יש"
"91","כאן"
"92","כאשר"
"93","כולם"
"94","כולן"
"95","כזה"
"96","כי"
"97","כיצד"
"98","כך"
"99","ככה"
"100","כל"
"101","כלל"
"102","כמו"
"103","כן"
"104","כפי"
"105","כש"
"106","לא"
"107","לאו"
"108","לאיזותכלית"
"109","לאן"
"110","לבין"
"111","לה"
"112","להיות"
"113","להם"
"114","להן"
"115","לו"
"116","לי"
"117","לכם"
"118","לכן"
"119","למה"
"120","למטה"
"121","למעלה"
"122","למקוםשבו"
"123","למרות"
"124","לנו"
"125","לעבר"
"126","לעיכן"
"127","לפיכך"
"128","לפני"
"129","מאד"
"130","מאחורי"
"131","מאיזוסיבה"
"132","מאין"
"133","מאיפה"
"134","מבלי"
"135","מבעד"
"136","מדוע"
"137","מה"
"138","מהיכן"
"139","מול"
"140","מחוץ"
"141","מי"
"142","מכאן"
"143","מכיוון"
"144","מלבד"
"145","מן"
"146","מנין"
"147","מסוגל"
"148","מעט"
"149","מעטים"
"150","מעל"
"151","מצד"
"152","מקוםבו"
"153","מתחת"
"154","מתי"
"155","נגד"
"156","נגר"
"157","נו"
"158","עד"
"159","עז"
"160","על"
"161","עלי"
"162","עליה"
"163","עליהם"
"164","עליהן"
"165","עליו"
"166","עליך"
"167","עליכם"
"168","עלינו"
"169","עם"
"170","עצמה"
"171","עצמהם"
"172","עצמהן"
"173","עצמו"
"174","עצמי"
"175","עצמם"
"176","עצמן"
"177","עצמנו"
"178","פה"
"179","רק"
"180","שוב"
"181","של"
"182","שלה"
"183","שלהם"
"184","שלהן"
"185","שלו"
"186","שלי"
"187","שלך"
"188","שלכה"
"189","שלכם"
"190","שלכן"
"191","שלנו"
"192","שם"
"193","תהיה"
"194","תחת"
"195","בכל"
"196","בכל"
"197","ב"
"198","מ"
"199","כ"
"200","ללא"
